Nombre,Población(1 de enero de 2020)
Madrid,3 334 730
Barcelona,1 664 182
Valencia,800 215
Sevilla,691 395
Zaragoza,681 877
Málaga,578 460
Murcia,459 403
Palma,422 587
Las Palmas de Gran Canaria,381 223
Bilbao,350 184
Alicante,337 482
Córdoba,326 039
Valladolid,299 265
Vigo,296 692
Gijón,271 717
Hospitalet de Llobregat,269 382
Vitoria,253 996
La Coruña,247 604
Elche,234 765
Granada,233 648
Tarrasa,223 627
Badalona,223 166
Oviedo,219 910
Sabadell,216 520
Cartagena,216 108
Jerez de la Frontera,213 105
Móstoles,210 309
Santa Cruz de Tenerife,209 194
Pamplona,203 944
Almería,201 322
Alcalá de Henares,197 562
Fuenlabrada,194 514
Leganés,191 114
San Sebastián,188 240
Getafe,185 180
Burgos,176 418
Albacete,174 336
Castellón de la Plana,174 264
Santander,173 375
Alcorcón,172 384
San Cristóbal de La Laguna,158 911
Logroño,152 485
Badajoz,150 984
Marbella,147 633
Salamanca,144 825
Huelva,143 837
Lérida,140 403
Tarragona,136 496
Dos Hermanas,135 050
Parla,133 482
Torrejón de Ardoz,132 853
Mataró,129 661
León,124 028
Algeciras,123 078
Santa Coloma de Gramanet,120 443
Alcobendas,118 417
Cádiz,115 439
Jaén,112 757
Reus,106 168
Orense,105 643
Gerona,103 369
Telde,102 791
Baracaldo,101 486
